epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.393321,0,126.801,0,0,0,0,0,0,27.5625,0,5.001e-05,5.001e-05,5.001e-05
2,0.67813,0,126.833,0,0,0,0,0,0,27.5625,0,0.000112839,0.000112839,0.000112839
3,0.959867,0,125.545,0,0,0,0,0,0,27.5469,0,0.000171268,0.000171268,0.000171268
4,1.72412,0,120.413,0,0,0,0,0,0,26.9688,0,0.000225295,0.000225295,0.000225295
5,2.05533,0,114.578,0,0,0,0,0,0,26.375,0,0.000274922,0.000274922,0.000274922
6,2.38238,0,110.507,0,0,0,0,0,0,25.3281,0,0.000320147,0.000320147,0.000320147
7,2.69839,0,106.012,0,0,0,0,0,0,21.2188,0,0.000360972,0.000360972,0.000360972
8,3.02177,0,101.412,0,0,0,0,0,0,20.625,0,0.000397396,0.000397396,0.000397396
9,3.34594,0,98.6642,0,0,0,0,0,0,23.4688,0,0.000429419,0.000429419,0.000429419
10,3.67154,0,95.6788,0,0,0,0,0,0,23.9062,0,0.000457041,0.000457041,0.000457041
11,3.98823,0,94.1552,0,0,0,0,0,0,23.1406,0,0.000480263,0.000480263,0.000480263
12,4.30569,0,91.9198,0,0,0,0,0,0,17.8438,0,0.000499083,0.000499083,0.000499083
13,4.6284,0,93.211,0,0,0,0,0,0,16.6562,0,0.000513503,0.000513503,0.000513503
14,4.93986,0,93.2343,0,0,0,0,0,0,16.0938,0,0.000523521,0.000523521,0.000523521
15,5.26201,0,90.6191,0,0,0,0,0,0,32.375,0,0.000529139,0.000529139,0.000529139
16,5.57944,0,87.7091,0,0,0,0,0,0,16.375,0,0.000530356,0.000530356,0.000530356
17,5.89711,0,86.7507,0,0,0,0,0,0,14.7344,0,0.000527172,0.000527172,0.000527172
18,6.22009,0,87.1581,0,0,0,0,0,0,13.9375,0,0.000519587,0.000519587,0.000519587
19,6.53978,0,84.6678,0,0,0,0,0,0,13.875,0,0.000507602,0.000507602,0.000507602
20,6.85428,0,84.103,0,0,0,0,0,0,13.8281,0,0.000491215,0.000491215,0.000491215
21,7.88628,0,83.5915,0,0,0,0,0,0,13.7812,0,0.000470427,0.000470427,0.000470427
22,8.21692,0,82.4308,0,0,0,0,0,0,13.7812,0,0.000445239,0.000445239,0.000445239
23,8.54504,0,83.7662,0,0,0,0,0,0,13.7812,0,0.00041565,0.00041565,0.00041565
24,8.86604,0,84.4045,0,0,0,0,0,0,13.7812,0,0.00038166,0.00038166,0.00038166
25,9.18689,0,82.9737,0,0,0,0,0,0,13.7812,0,0.000343269,0.000343269,0.000343269
26,9.70405,0,82.1518,0,0,0,0,0,0,13.7812,0,0.000291725,0.000291725,0.000291725
27,10.0168,0,81.475,0,0,0,0,0,0,13.8125,0,0.000236714,0.000236714,0.000236714
28,10.3271,0,81.2589,0,0,0,0,0,0,13.8984,0,0.000181703,0.000181703,0.000181703
29,10.6391,0,80.756,0,0,0,0,0,0,13.8906,0,0.000126692,0.000126692,0.000126692
30,10.9571,0,80.5403,0,0,0,0,0,0,13.9219,0,7.1681e-05,7.1681e-05,7.1681e-05
