epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.841591,0,126.801,0,0,0,0,0,0,27.5625,0,5.001e-05,5.001e-05,5.001e-05
2,1.13529,0,126.833,0,0,0,0,0,0,27.5625,0,0.000114765,0.000114765,0.000114765
3,1.43773,0,125.516,0,0,0,0,0,0,27.5469,0,0.000177319,0.000177319,0.000177319
4,1.79037,0,120.22,0,0,0,0,0,0,26.8906,0,0.000237673,0.000237673,0.000237673
5,2.11343,0,114.053,0,0,0,0,0,0,26.3438,0,0.000295826,0.000295826,0.000295826
6,2.43995,0,109.758,0,0,0,0,0,0,24.5625,0,0.000351779,0.000351779,0.000351779
7,2.77129,0,105.025,0,0,0,0,0,0,21.4062,0,0.000405531,0.000405531,0.000405531
8,3.10657,0,99.9251,0,0,0,0,0,0,22.1562,0,0.000457083,0.000457083,0.000457083
9,3.439,0,98.0763,0,0,0,0,0,0,24.25,0,0.000506435,0.000506435,0.000506435
10,3.77131,0,94.3417,0,0,0,0,0,0,22.9062,0,0.000553586,0.000553586,0.000553586
11,4.09747,0,91.3484,0,0,0,0,0,0,19.1406,0,0.000598536,0.000598536,0.000598536
12,4.42158,0,89.4433,0,0,0,0,0,0,16.1875,0,0.000641287,0.000641287,0.000641287
13,4.75464,0,87.4789,0,0,0,0,0,0,21.125,0,0.000681836,0.000681836,0.000681836
14,5.06878,0,85.9028,0,0,0,0,0,0,19.1094,0,0.000720186,0.000720186,0.000720186
15,5.39124,0,87.4791,0,0,0,0,0,0,17.1875,0,0.000756335,0.000756335,0.000756335
16,5.70928,0,84.8132,0,0,0,0,0,0,14.4766,0,0.000790283,0.000790283,0.000790283
17,6.02904,0,83.4256,0,0,0,0,0,0,15.4375,0,0.000822031,0.000822031,0.000822031
18,6.71973,0,83.1318,0,0,0,0,0,0,15.4688,0,0.000851579,0.000851579,0.000851579
19,7.03593,0,81.973,0,0,0,0,0,0,15.6719,0,0.000878926,0.000878926,0.000878926
20,7.35215,0,80.8769,0,0,0,0,0,0,36.2188,0,0.000904072,0.000904072,0.000904072
21,7.67779,0,79.6607,0,0,0,0,0,0,593,0,0.000927019,0.000927019,0.000927019
22,8.00573,0,78.4397,0,0,0,0,0,0,642,0,0.000947765,0.000947765,0.000947765
23,8.32223,0,77.7298,0,0,0,0,0,0,232.125,0,0.00096631,0.00096631,0.00096631
24,8.64074,0,76.7843,0,0,0,0,0,0,15.6562,0,0.000982655,0.000982655,0.000982655
25,8.95783,0,75.5525,0,0,0,0,0,0,23.1562,0,0.000996799,0.000996799,0.000996799
26,9.27666,0,74.6372,0,0,0,0,0,0,17.9844,0,0.000979362,0.000979362,0.000979362
27,9.59551,0,73.816,0,0,0,0,0,0,14.1094,0,0.000951857,0.000951857,0.000951857
28,9.91957,0,73.0173,0,0,0,0,0,0,13.9531,0,0.000924352,0.000924352,0.000924352
29,10.2389,0,72.1029,0,0,0,0,0,0,13.7891,0,0.000896846,0.000896846,0.000896846
30,10.5581,0,71.1771,0,0,0,0,0,0,13.7812,0,0.00086934,0.00086934,0.00086934
31,10.8788,0,70.4051,0,0,0,0,0,0,13.7812,0,0.000841835,0.000841835,0.000841835
32,11.1925,0,74.3473,0,0,0,0,0,0,13.7812,0,0.000814329,0.000814329,0.000814329
33,11.5109,0,74.402,0,0,0,0,0,0,13.7812,0,0.000786824,0.000786824,0.000786824
34,11.8325,0,74.308,0,0,0,0,0,0,15.9297,0,0.000759318,0.000759318,0.000759318
35,12.1519,0,71.4328,0,0,0,0,0,0,15.3906,0,0.000731813,0.000731813,0.000731813
36,12.4725,0,70.4247,0,0,0,0,0,0,13.2969,0,0.000704307,0.000704307,0.000704307
37,12.964,0,69.1194,0,0,0,0,0,0,13.5234,0,0.000676802,0.000676802,0.000676802
38,13.2859,0,68.111,0,0,0,0,0,0,13.9766,0,0.000649297,0.000649297,0.000649297
39,13.6112,0,67.4391,0,0,0,0,0,0,14.0859,0,0.000621791,0.000621791,0.000621791
40,13.9362,0,66.4866,0,0,0,0,0,0,13.8203,0,0.000594286,0.000594286,0.000594286
41,14.2664,0,65.6857,0,0,0,0,0,0,13.875,0,0.00056678,0.00056678,0.00056678
42,14.5943,0,64.8992,0,0,0,0,0,0,13.8203,0,0.000539275,0.000539275,0.000539275
43,14.9181,0,64.6344,0,0,0,0,0,0,13.7031,0,0.000511769,0.000511769,0.000511769
44,15.2388,0,63.8993,0,0,0,0,0,0,14.5781,0,0.000484263,0.000484263,0.000484263
45,15.5627,0,63.7746,0,0,0,0,0,0,15.9844,0,0.000456758,0.000456758,0.000456758
46,15.8883,0,63.1011,0,0,0,0,0,0,15.5781,0,0.000429253,0.000429253,0.000429253
